rank,name,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank,employees
76,Publix Super Markets,48393.9,71000.00%,4412.2,111000.00%,31524.3,-,-7,232000
77,ConocoPhillips,48349,1511000.00%,8079,-,90661,129605.1,79,9900
78,Liberty Mutual Insurance Group,48200,101000.00%,3068,3047000.00%,156043,-,-7,45000
79,Progressive,47702,118000.00%,3350.9,-413000.00%,71132.3,66670.3,-5,49077
80,Nationwide,47376,130000%,1617.2,-,278412.2,-,-4,24134
81,Tyson Foods,47049,89000.00%,3047,478000.00%,36309,32487.8,-8,137000
82,Bristol-Myers Squibb,46385,91000.00%,6994,-,109314,155203.5,-7,32200
83,Nike,44538,191000.00%,5727,1256000.00%,37740,212779.1,2,73300
84,Deere,44024,239000.00%,5963,1168000.00%,84114,127456.6,4,75550
85,American Express,43663,143000.00%,8060,1571000.00%,188548,141613,-2,64000
86,Abbott Laboratories,43075,245000.00%,7071,573000.00%,75196,208725.8,3,113000
87,StoneX Group,42534.2,-214000.00%,116.3,-314000.00%,18839.6,1494.4,-29,3242
88,Plains GP Holdings,42078,807000.00%,60,-,29978,2242.9,39,4100
89,Enterprise Products Partners,40806.9,500000%,4637.7,228000.00%,67525.6,56172.4,16,6911
90,TIAA,40526.4,-26000.00%,4060.7,6276000.00%,698190.8,-,-11,15065
91,Oracle,40479,36000.00%,13746,356000.00%,131107,220736.6,-11,132000
92,Thermo Fisher Scientific,39211,217000.00%,7725,212000.00%,95123,231057.4,3,129000
93,Coca-Cola,38655,171000.00%,9771,261000.00%,94354,268769.7,-,79000
93,Coca-Cola,38655,171000.00%,9771,261000.00%,94354,268769.7,-,79000
94,General Dynamics,38469,14000.00%,3257,28000.00%,50073,67081,-10,103100
95,CHS,38448,354000.00%,554,311000.00%,17576.3,-,8,9941
96,USAA,37469.6,32000.00%,3300,-155000.00%,210676.5,-,-9,37335
97,Northwestern Mutual,36751.2,88000.00%,977.8,1301000.00%,334653.8,-,-7,7585
98,Nucor,36483.9,812000.00%,6827.5,8463000.00%,25823.1,39954,51,28800
99,Exelon,36347,100000%,1706,-131000.00%,133013,46683.9,-7,31518
100,Massachusetts Mutual Life Insurance,35899.5,517000.00%,319.3,-,383292.4,-,23,10052
101,Northrop Grumman,35667,-31000.00%,7005,1197000.00%,42579,69811.9,-15,88000
102,3M,35355,99000.00%,5921,100000%,47072,84738.3,-6,95000
103,Travelers,34816,89000.00%,3662,358000.00%,120466,44129.4,-5,30492
104,Arrow Electronics,34477,202000.00%,1108.2,896000.00%,19535.5,7951.3,-2,20700
105,Honeywell International,34392,54000.00%,5542,160000%,64470,133381,-11,99000
106,Dollar General,34220.4,14000.00%,2399.2,-96000.00%,26327.4,50953,-15,163000
107,Qualcomm,33566,426000.00%,9043,740000%,41240,172228.1,17,45000
108,Capital One Financial,32033,12000.00%,12390,3565000.00%,432381,53260.4,-9,50767
109,TD Synnex,31614.2,281000.00%,395.1,-253000.00%,27666.4,9853.6,8,27000
110,Philip Morris International,31405,94000.00%,9109,131000.00%,41290,145614.7,-9,69600
111,World Fuel Services,31337,539000.00%,73.7,-328000.00%,5942.4,1715.5,36,4414
112,Performance Food Group,30398.9,212000.00%,40.7,-,7845.7,7880.9,2,22885
113,Delta Air Lines,29899,749000.00%,280,-,72459,25322,65,83000
114,American Airlines Group,29882,724000.00%,-1993,-,66467,11847.2,60,123400
115,Netflix,29697.8,188000.00%,5116.2,853000.00%,44584.7,166304.1,-,11300
116,Paramount Global,29579,130000%,4543,876000.00%,58620,24628.8,-7,25115
117,US Foods Holding,29487,288000.00%,164,-,12521,8392.3,11,28000
118,Danaher,29453,322000.00%,6433,764000.00%,83184,209993.4,12,79000
119,Jabil,29285,74000.00%,696,11910000%,16654,8857.3,-15,238000
120,Starbucks,29060.6,236000.00%,4199.3,3524000.00%,31392.6,104642.8,5,383000
121,Mondelez International,28720,80000%,4300,210000%,67092,87159.2,-13,79000
122,Eli Lilly,28318.4,154000.00%,5581.7,-99000.00%,48806,272723.6,-4,35238
123,Hewlett Packard Enterprise,27784,30000%,3427,-,57699,21725.3,-17,60400
124,D.R. Horton,27774.2,367000.00%,4175.8,759000.00%,24015.9,26403.2,24,11788
125,Molina Healthcare,27771,430000%,659,-21000.00%,12209,19572.9,30,14000
126,CBRE Group,27746,165000.00%,1836.6,1442000.00%,22073.5,30414.2,-4,105000
127,Micron Technology,27705,293000.00%,5861,1181000.00%,58849,86977.2,8,43000
128,Broadcom,27450,149000.00%,6736,1276000.00%,75570,257086.5,-7,20000
129,Gilead Sciences,27305,106000.00%,6225,49610000%,67952,74656.5,-13,14400
130,PBF Energy,27253.4,803000.00%,231,-,11641.4,2932.6,73,3418
131,Lennar,27130.7,206000.00%,4430.1,797000.00%,33207.8,23413,-2,10753
132,United Natural Foods,26992,9000.00%,149,-,7525,2409.3,-25,28300
133,NRG Energy,26989,1968000.00%,2187,3288000.00%,23182,9289,200,6635
134,Nvidia,26914,614000.00%,9752,1251000.00%,44187,684878.6,50,22473
135,Occidental Petroleum,26772,605000.00%,2322,-,75036,53160.2,48,11678
136,Salesforce,26492,247000.00%,1444,-645000.00%,95209,210196.8,1,73541
137,Dollar Tree,26321.2,32000.00%,1327.9,-10000%,21721.8,36051.4,-26,136226
138,KKR,26141.3,1715000.00%,4666.5,1330000%,264285.4,51542.9,178,3238
139,Kraft Heinz,26042,-5000.00%,1012,1843000.00%,93394,48248.6,-29,36000
140,Amgen,25979,22000.00%,5893,-189000.00%,61165,134700.8,-28,24200
141,AutoNation,25844,267000.00%,1373,2598000.00%,8943.6,6111.4,4,22200
142,Penske Automotive Group,25554.7,250000%,1187.8,1185000.00%,13464.6,7196.7,1,24797
143,PayPal Holdings,25371,183000.00%,4169,-8000.00%,75803,134732.8,-9,30900
144,Macy's,25292,398000.00%,1430,-,17590,7123.2,20,88857
145,Duke Energy,24677,52000.00%,3908,1838000.00%,169587,85967,-19,27605
146,United Airlines Holdings,24634,604000.00%,-1964,-,68175,15049.7,54,84100
147,Visa,24105,103000.00%,12311,133000.00%,82896,480022.5,-14,21500
148,Rite Aid,24043.4,96000.00%,-90.9,-,9335.4,488.1,-16,50000
149,Cummins,24021,213000.00%,2131,191000.00%,23710,29140.9,1,59900
150,U.S. Bancorp,23714,-60000%,7963,606000.00%,573284,78929.8,-37,68796
151,Paccar,23522.3,256000.00%,1852.1,426000.00%,29301.7,30619.7,8,28500
152,McDonald's,23222.9,209000.00%,7545.2,595000.00%,53854.3,183873.6,5,200000
153,Southern,23113,134000.00%,2393,-233000.00%,127534,76877,-7,27164
154,C.H. Robinson Worldwide,23102.1,425000.00%,844.2,667000.00%,7028.1,13855.8,37,16877
155,Truist Financial,23064,-56000.00%,6440,437000.00%,541241,75353.9,-36,51462
156,Applied Materials,23063,341000.00%,5888,627000.00%,25825,116431.4,20,27000
157,Freeport-McMoRan,22845,609000.00%,4306,6189000.00%,48022,72360.8,58,24700
158,Lithia Motors,22831.7,740000%,1060,1254000.00%,11146.9,8909.8,73,21150
159,Blackstone,22577.1,2700000%,5857.4,4603000.00%,41196.4,88907.2,295,3795
160,Hartford Financial Services Group,22390,91000.00%,2365,362000.00%,76578,23815.6,-18,18100
161,Aflac,22106,-2000.00%,4325,-95000.00%,157542,41812.8,-30,12447
162,Whirlpool,21985,130000%,1783,649000.00%,20285,10101.2,-8,69000
163,Union Pacific,21804,116000.00%,6523,219000.00%,63525,171681.6,-10,32124
164,International Paper,21780,58000.00%,1752,2635000.00%,25243,17301.1,-23,38200
165,Altria Group,21111,13000.00%,2475,-446000.00%,39523,94951.7,-27,6000
166,CDW,20820.8,127000.00%,988.6,254000.00%,13199.4,24140.2,-5,13900
167,ManpowerGroup,20724.4,151000.00%,382.4,15067000.00%,9828.9,5025.6,-2,30000
168,PG&E,20642,118000.00%,-102,-,103327,29433.7,-8,26000
169,Carrier Global,20613,181000.00%,1664,-160000%,26172,39127.4,2,58000
170,Baker Hughes,20502,-10000%,-219,-,35308,37410.2,-30,54000
171,Cleveland-Cliffs,20444,2818000.00%,2988,-,18975,16891.2,330,26000
172,United States Steel,20275,1081000.00%,4174,-,17816,9832.3,138,24540
173,Becton Dickinson,20248,183000.00%,2092,1394000.00%,53866,75749.1,4,75000
174,CarMax,20092.1,-62000.00%,746.9,-159000.00%,21541.5,15598.9,-38,26889
175,Sherwin-Williams,19944.6,86000.00%,1864.4,-82000.00%,20666.7,65037.9,-13,61626
176,Builders FirstSource,19893.9,1324000.00%,1725.4,4503000.00%,10714.3,11408.9,174,28000
177,Marsh & McLennan,19820,151000.00%,3143,559000.00%,34388,85681.3,-2,83000
178,PNC Financial Services Group,19698,-181000.00%,5674,-245000.00%,557191,77203.4,-58,58547
179,Lumen Technologies,19687,-49000.00%,2033,-,57993,11533.4,-40,36000
180,Avnet,19534.7,108000.00%,193.1,-,8925.4,4016.9,-12,14500
181,Tenet Healthcare,19485,105000.00%,914,1291000.00%,27579,9387.6,-14,88968
182,Kimberly-Clark,19440,16000.00%,1814,-229000.00%,17837,41496.1,-24,45000
183,Kohl's,19433,218000.00%,938,-,15054,7774.6,12,67000
184,BlackRock,19374,196000.00%,5901,196000.00%,152648,116186.2,8,18400
185,Jones Lang LaSalle,19367,167000.00%,961.6,1389000.00%,15505,11945.5,1,98200
186,Lear,19263.1,130000%,373.9,1359000.00%,13352.4,8513.1,-7,160100
187,Lincoln National,19230,103000.00%,1405,1816000.00%,387301,11271.6,-15,10848
188,Charles Schwab,18996,569000.00%,5855,775000.00%,667270,159675.9,63,33400
189,Ross Stores,18916.2,509000.00%,1722.6,19175000.00%,13640.3,31741.7,53,100000
190,Mastercard,18884,234000.00%,8687,355000.00%,37669,349330.5,11,24000
