rank,name,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank,employees
329,Republic Services,11295,112000.00%,1290.4,334000.00%,24955,41841.7,-32,35000
330,Mohawk Industries,11200.6,173000.00%,1033.2,1004000.00%,14224.5,8081.8,-9,43000
331,Conagra Brands,11184.7,12000.00%,1298.8,546000.00%,22195.6,16103.5,-48,18600
332,Norfolk Southern,11142,138000.00%,3005,493000.00%,38493,68389.3,-25,18100
333,AES,11141,153000.00%,-409,-9891000.00%,32963,17172.1,-20,8450
334,AGCO,11138.3,217000.00%,897,1100000%,9182.1,10885.3,-3,23300
335,Caesars Entertainment,11110,2198000.00%,-1019,-,38031,16564.6,340,49000
336,Equitable Holdings,11036,-111000.00%,-439,-,292262,12041.2,-92,10000
337,Advance Auto Parts,10998,88000.00%,616.1,250000%,12194.2,12644.8,-36,54500
338,Biogen,10981.7,-183000.00%,1556.1,-611000.00%,23877.3,30950.4,-110,9610
339,Auto-Owners Insurance,10980.2,240000%,1318.4,590000%,32487.1,-,2,6441
340,Booking Holdings,10958,612000.00%,1165,18746000.00%,23641,96022.7,84,20199
341,Amphenol,10876.3,265000.00%,1590.8,322000.00%,14678.4,45130.1,8,90000
342,Quest Diagnostics,10788,143000.00%,1995,394000.00%,13611,16348.6,-18,44500
343,FirstEnergy,10758,31000.00%,1283,189000.00%,45432,26181.6,-49,12395
344,DCP Midstream,10707,699000.00%,391,-,13380,6993.2,98,1788
345,Ally Financial,10690,-8000.00%,3060,1820000%,182114,14411.6,-58,10500
346,Delek US Holdings,10648.2,458000.00%,-203.5,-,6728,1500.2,51,3312
347,Williams,10627,377000.00%,1517,6190000%,47612,40670.4,32,4783
348,Newell Brands,10589,128000.00%,572,-,14179,8902.4,-23,32000
349,Eastman Chemical,10476,236000.00%,857,793000.00%,15519,14450.1,6,14000
350,Air Products & Chemicals,10323,166000.00%,2099.1,113000.00%,26859.2,55409.4,-10,20750
351,Thrivent Financial for Lutherans,10312.7,265000.00%,2530.2,2972000.00%,116524.8,-,18,3256
352,Molson Coors Beverage,10279.7,65000.00%,1005.7,-,27619,11631.8,-38,16300
353,Interpublic Group,10240.7,130000%,952.8,1714000.00%,19909.2,13965.9,-19,55600
354,Weyerhaeuser,10201,354000.00%,2607,2271000.00%,17652,28315,33,9214
355,Altice USA,10090.8,20000%,990.3,1270000%,33215,5674.1,-49,9000
356,Raymond James Financial,9910,213000.00%,1403,715000.00%,61891,22817.5,11,15000
357,EMCOR Group,9903.6,126000.00%,383.5,1885000.00%,5441.4,5931.8,-13,34000
358,Eversource Energy,9863.1,108000.00%,1220.5,13000.00%,48492.1,30403.2,-20,9227
359,Yum China Holdings,9853,192000.00%,990,263000.00%,13223,17679,4,298500
360,Asbury Automotive Group,9837.7,379000.00%,532.4,1093000.00%,8002.6,3714.8,45,14200
361,Owens & Minor,9785.3,124000.00%,221.6,6418000.00%,3536.6,3375.6,-16,17300
362,Public Service Enterprise Group,9722,12000.00%,-648,-1340000%,48999,35145.5,-44,12684
363,United Rentals,9716,139000.00%,1386,557000.00%,20292,25643.3,-11,20400
364,MGM Resorts International,9680.1,875000.00%,1254.4,-,40899.1,18257.9,153,60500
365,Ryder System,9663,148000.00%,519,-,13834.3,4055.4,-8,42800
366,Intuit,9633,254000.00%,2062,129000.00%,15516,135987.6,14,17350
367,Cincinnati Financial,9629.7,278000.00%,2945.6,1422000.00%,31386.7,21813.3,19,5166
368,Erie Insurance Group,9619.7,110000%,1130.1,-37000.00%,27297.3,-,-21,5805
369,Univar Solutions,9535.5,154000.00%,460.6,7707000.00%,6777.8,5459.8,-7,9450
370,Huntington Ingalls Industries,9524,17000.00%,544,-218000.00%,10627,7991,-43,44000
371,W.R. Berkley,9455.5,167000.00%,1022.5,927000.00%,32086.4,17658.8,1,7681
372,Western & Southern Financial Group,9441.7,172000.00%,361.2,767000.00%,62876.7,-,2,2538
373,Insight Enterprises,9436.1,131000.00%,219.3,271000.00%,4689.1,3745.1,-13,11624
374,News Corp.,9358,39000.00%,330,-,16771,13127.7,-37,24000
375,American Tower,9356.9,164000.00%,2567.7,519000.00%,69887.9,114527.4,-,6378
376,Old Republic International,9341.6,304000.00%,1534.3,1747000.00%,24981.8,7972.8,25,9600
377,Burlington Stores,9322.3,617000.00%,408.8,-,7089.5,12112.8,94,38599
378,Avis Budget Group,9313,724000.00%,1285,-,22600,14157,120,18500
379,ODP,9267,-46000.00%,-208,-,4865,2222.2,-67,26000
380,VF,9238.8,-210000%,407.9,-400000%,13754,22112.9,-117,33600
381,Bed Bath & Beyond,9233,-173000.00%,-150.8,-,6456.9,2170.5,-101,37600
382,Seaboard,9229,295000.00%,570,1014000.00%,7503,4881.6,24,13200
383,First American Financial,9221,301000.00%,1241,782000.00%,16451,7087.2,26,22233
384,Intercontinental Exchange,9168,112000.00%,4058,943000.00%,193502,74044.8,-19,8858
385,PVH,9154.7,284000.00%,952.3,-,12396.8,5210,19,25000
386,Apollo Global Management,9124,3322000.00%,1838.5,10739000.00%,30501.9,37194,552,2153
387,Jefferies Financial Group,9039.9,300000%,1674.4,1160000%,60404.1,7933.9,32,5556
388,Hershey,8971.3,101000.00%,1477.5,155000.00%,10412.2,44461.5,-18,17805
389,NVR,8970.1,186000.00%,1236.7,372000.00%,5834.5,15010.5,-6,6600
390,Foot Locker,8958,187000.00%,893,1765000.00%,8135,2850,-5,33244
391,Dana,8945,259000.00%,197,-,7632,2544.4,17,40200
392,SpartanNash,8931,-45000.00%,73.8,-28000.00%,2206.8,1185.1,-63,13300
393,Olin,8910.6,548000.00%,1296.7,-,8517.7,8062,79,7750
394,Chewy,8890.8,244000.00%,-73.8,-,2086.3,17147.3,9,21300
395,Jackson Financial,8848,-,3183,-,375484,3895.1,-,3150
396,Activision Blizzard,8803,89000.00%,2699,228000.00%,25056,62559.7,-23,9800
397,Toll Brothers,8790.4,242000.00%,833.6,867000.00%,11537.9,5515.4,14,5100
398,Carlyle Group,8782.1,1993000.00%,2974.7,7543000.00%,21250.4,17427.5,360,1850
399,Graybar Electric,8767.3,207000.00%,262.4,1154000.00%,3069,-,-,8800
400,Ovintiv,8658,422000.00%,1416,-,14055,13987.5,58,1713
401,UFP Industries,8636.1,676000.00%,535.6,1171000.00%,3245.3,4790.5,117,15000
402,Ulta Beauty,8630.9,403000.00%,985.8,4607000.00%,4764.4,20837.8,49,28500
403,Constellation Brands,8614.9,33000.00%,1998,-,27104.8,43763.5,-44,9300
404,Expedia Group,8598,654000.00%,12,-,21548,30476.5,111,14800
405,CommScope Holding,8586.7,18000.00%,-462.6,-,13259.5,1629.7,-49,30000
406,Celanese,8537,510000%,1890,-48000.00%,11975,15434.1,71,8529
407,Global Payments,8523.8,148000.00%,965.5,652000.00%,45279.7,38545.6,-13,25000
408,Owens Corning,8498,205000.00%,995,-,10015,9064.7,5,20000
409,Campbell Soup,8476,-63000.00%,1002,-385000.00%,11734,13446.9,-74,14100
410,Huntsman,8453,403000.00%,1045,11000.00%,9392,8046.9,50,9000
411,Franklin Resources,8425.5,514000.00%,1831.2,1292000.00%,24168.4,14019.3,73,10300
412,Avery Dennison,8408.3,206000.00%,740.1,331000.00%,7971.6,14327.4,5,36000
413,Masco,8375,149000.00%,410,-665000.00%,5575,12062.7,-15,20000
414,CenterPoint Energy,8352,-55000.00%,1486,-,37679,19285.8,-72,9418
415,Fifth Third Bancorp,8329,-9000.00%,2770,941000.00%,211116,29511.3,-57,19112
416,WEC Energy Group,8316,148000.00%,1300.3,84000.00%,38988.5,31483.5,-16,6938
417,S&P Global,8297,115000.00%,3024,293000.00%,15026,142343.5,-24,22850
418,FM Global,8274.6,217000.00%,2842.4,641000.00%,32160.5,-,5,5560
419,Polaris,8252,161000.00%,493.9,2958000.00%,5047.8,6264.1,-12,16000
420,Williams-Sonoma,8245.9,216000.00%,1126.3,655000.00%,4625.6,10376,5,16600
421,Autoliv,8230,105000.00%,435,1327000.00%,7537,6691.1,-29,58176
422,Arthur J. Gallagher,8209.4,172000.00%,906.8,107000.00%,33345,36598.6,-6,39000
423,Motorola Solutions,8171,102000.00%,1245,312000.00%,12189,40555.9,-28,18700
424,Zillow Group,8147.4,1439000.00%,-527.8,-,10695.5,12287.1,268,8005
425,Opendoor Technologies,8021,2105000.00%,-662,-,9506,5364.1,394,2816
426,J.M. Smucker,8002.7,26000.00%,876.3,124000.00%,16284.2,14686.4,-48,7100
427,Anywhere Real Estate,7983,283000.00%,343,-,7210,1852.1,18,9748
428,Oshkosh,7952.5,160000%,409.4,262000.00%,6721.8,6703.7,-6,15000
429,MasTec,7951.8,258000.00%,328.8,19000.00%,7121.4,6657,12,27000
430,GXO Logistics,7940,-,153,-,7271,8193,-,97500
431,APA,7928,840000%,973,-,13303,14332.3,164,2253
432,Boise Cascade,7926.1,448000.00%,712.5,3072000.00%,2572.6,2740.4,61,6130
433,Dover,7907.1,183000.00%,1123.8,644000.00%,10403.6,22610.3,-4,25000
434,Genworth Financial,7882,-90000%,904,4079000.00%,99171,1917.9,-86,2500
435,Bath & Body Works,7881.5,-335000.00%,1333.5,579000.00%,6026,11419.9,-178,32850
436,Booz Allen Hamilton Holding,7858.9,53000.00%,609,262000.00%,5499.6,11705.4,-45,27700
437,Coinbase Global,7839.4,5137000.00%,3624.1,10244000.00%,21274.4,41670.4,-,3730
438,Zimmer Biomet Holdings,7836.2,116000.00%,401.6,-,23456.4,26772.3,-24,19500
439,Westinghouse Air Brake Technologies,7822,35000.00%,558,347000.00%,18454,17819.4,-55,25000
440,Zoetis,7776,165000.00%,2037,244000.00%,13900,89008.9,-9,12100
441,Packaging Corp. of America,7730.3,161000.00%,841.1,825000.00%,7836.8,14628.1,-8,15200
442,LPL Financial Holdings,7720.8,315000.00%,459.9,-27000.00%,7991.6,14608.8,24,5919
443,T. Rowe Price,7671.9,236000.00%,3082.9,299000.00%,12509,34442.6,4,7529
444,Fortune Brands Home & Security,7656.1,257000.00%,772.4,396000.00%,7936.2,9830.7,12,28056
445,Casey's General Stores,7654.2,-56000.00%,312.9,186000.00%,4460.3,7354.4,-74,27583
446,A-Mark Precious Metals,7613,394000.00%,159.6,4232000.00%,1191.6,890.5,49,347
447,Hess,7583,578000.00%,559,-,20515,33155.2,96,1545
448,Vertex Pharmaceuticals,7574.4,221000.00%,2342.1,-136000.00%,13432.5,66436.9,-,3900
449,KeyCorp,7561,31000.00%,2625,955000.00%,186346,20592.5,-53,16974
450,Chipotle Mexican Grill,7547.1,261000.00%,653,835000.00%,6653,44347.4,14,97660
451,CMS Energy,7538,128000.00%,1353,792000.00%,28753,20292.2,-21,8813
452,Arconic,7504,322000.00%,-397,-,6580,2690.7,24,13900
453,Taylor Morrison Home,7501.3,224000.00%,663,1724000.00%,8727.8,3301.6,-1,3000
454,American Financial Group,7462,-57000.00%,1995,1725000.00%,28931,12367.8,-78,6600
455,UGI,7447,135000.00%,1467,1758000.00%,16723,7599.1,-19,11300
456,Science Applications International,7394,48000.00%,277,325000.00%,5746,5166.1,-44,25090
457,Avantor,7386.1,155000.00%,572.6,3911000.00%,13897.2,20629.1,-19,13500
458,Hanesbrands,7347.8,103000.00%,77.2,-,7071.4,5191.4,-26,58000
459,Clorox,7341,92000.00%,710,-244000.00%,6334,17108.7,-32,9000
460,KBR,7339,273000.00%,18,-,6199,7634.9,10,28000
461,TravelCenters of America,7336.8,514000.00%,58.5,-,3508.5,637.5,79,16540
462,Hertz Global Holdings,7336,395000.00%,366,-,19783,9508.9,46,23000
463,Analog Devices,7318.3,306000.00%,1390.4,139000.00%,52322.1,86441.2,18,24700
464,Securian Financial Group,7317.4,65000.00%,311.5,281000.00%,75169.4,-,-43,6941
465,Darden Restaurants,7196.1,-78000.00%,629.3,-,10656.1,16980.9,-88,156883
466,Graphic Packaging Holding,7156,91000.00%,204,219000.00%,10457,6154.4,-31,25000
466,NCR,7156,153000.00%,97,-,11641,5474.7,-20,38000
468,Brighthouse Financial,7142,-160000%,-108,-,259840,3958.7,-115,1500
469,PPL,7127,-63000.00%,-1480,-2007000.00%,33223,21001.9,-87,5607
470,Cintas,7116.3,4000.00%,1111,268000.00%,8236.8,43566.7,-60,40000
471,Xerox Holdings,7038,2000.00%,-455,-3370000%,13223,3123.3,-56,23300
472,Rockwell Automation,6997.4,105000.00%,1358.1,327000.00%,10701.6,32538.4,-32,24500
473,Citizens Financial Group,6986,-90000%,2319,1194000.00%,188409,19135.7,-92,17463
474,KLA,6918.7,192000.00%,2078.3,708000.00%,10271.1,55170.9,-6,11425
475,Camping World Holdings,6913.8,269000.00%,278.5,1276000.00%,4372.9,2664.6,21,12834
476,Ingredion,6894,151000.00%,117,-664000.00%,6999,5814.2,-13,12000
477,Veritiv,6850.5,80000%,144.6,3228000.00%,2438.4,2008,-38,6100
478,Beacon Roofing Supply,6820.4,-18000.00%,243,-,5549.3,4175.9,-58,6676
479,Diamondback Energy,6797,1416000.00%,2182,-,22898,24320,302,870
480,Victoria's Secret,6784.6,-,646.4,-,4344,4330.4,-,24000
481,Academy Sports and Outdoors,6773.1,191000.00%,671.4,1174000.00%,4584.9,3433.5,-6,16508
482,Sanmina,6756.6,-29000.00%,269,925000.00%,4206.7,2569,-64,33500
483,ON Semiconductor,6739.8,283000.00%,1009.6,3311000.00%,9626,27078.7,26,31650
484,Commercial Metals,6729.8,229000.00%,412.9,477000.00%,4638.7,5056.7,8,11089
485,EnLink Midstream,6685.9,717000.00%,22.4,-,8483.2,4670.6,145,1073
486,Southwestern Energy,6667,1889000.00%,-25,-,11848,7989.7,407,938
487,Equinix,6635.5,106000.00%,500.2,353000.00%,27918.7,67280.5,-26,10944
488,Dillard's,6624.3,494000.00%,862.5,-,3245.6,4928.2,97,25350
489,Regions Financial,6605,-8000.00%,2521,1304000.00%,162938,20860.9,-55,19626
490,Yum Brands,6584,165000.00%,1575,742000.00%,5966,34252.9,-12,25650
491,Landstar System,6540.4,581000.00%,381.5,986000.00%,2045.5,5600,115,1399
492,CF Industries Holdings,6538.3,585000.00%,917.1,1893000.00%,12375.2,21551.3,117,3003
493,Northern Trust,6488.3,30000%,1545.3,278000.00%,183889.8,24215.1,-50,21100
494,Robert Half International,6461.4,265000.00%,598.6,955000.00%,2952.4,12638.1,25,14600
495,Compass,6421,726000.00%,-494.1,-,1800.6,3358.8,151,4775
496,Hasbro,6420.4,175000.00%,428.7,927000.00%,10037.8,11383.6,-2,6640
497,Roper Technologies,6415.8,161000.00%,1152.6,214000.00%,23713.9,49868.8,-9,19300
498,ARKO,6412.6,881000.00%,59.2,3489000.00%,2942.3,1133.9,183,11236
499,Frontier Communications,6411,-104000.00%,-,-,16481,6763.1,-97,15640
500,Ameren,6394,104000.00%,990,137000.00%,35735,24198.7,-31,9116
501,O-I Glass,6357,44000.00%,149,-402000.00%,8832,2058,-46,24000
502,Chemours,6345,277000.00%,608,1776000.00%,7550,5015,25,6400
503,Crown Castle International,6340,86000.00%,1096,38000.00%,39040,79937.3,-36,5000
504,Agilent Technologies,6319,184000.00%,1210,683000.00%,10705,39714,-2,17000
505,McCormick,6317.9,128000.00%,755.3,11000.00%,12905.8,26754,-23,14000
506,Skechers U.S.A.,6310.2,368000.00%,741.5,6523000.00%,6491.3,6360.4,52,8950
507,Watsco,6280.2,242000.00%,418.9,554000.00%,3085.9,11842.6,17,6875
508,Live Nation Entertainment,6268.4,2368000.00%,-650.9,-,14402.3,26425,486,16200
509,Lululemon athletica,6256.6,421000.00%,975.3,656000.00%,4942.5,46717.8,78,29000
510,ABM Industries,6228.6,40000%,126.3,420000000%,4436.2,3078.7,-48,124000
511,Post Holdings,6226.7,93000.00%,166.7,207375000.00%,12414.7,4284.4,-37,10735
512,Moody's,6218,158000.00%,2214,245000.00%,14680,62548.1,-12,13460
513,Select Medical Holdings,6204.5,122000.00%,402.2,553000.00%,7360.2,3208.6,-26,43200
514,Alaska Air Group,6176,732000.00%,478,-,13951,7314.3,147,21691
515,Big Lots,6150.6,-8000.00%,177.8,-717000.00%,3927.3,988.1,-66,23350
516,Amkor Technology,6138.3,215000.00%,643,902000.00%,6038.6,5313,9,30400
517,Sinclair Broadcast Group,6134,32000.00%,-414,-,12541,2008.1,-52,11500
518,RPM International,6106.3,109000.00%,502.6,651000.00%,6253,10560.8,-29,15490
519,M&T Bank,6105.8,-28000.00%,1858.7,374000.00%,155107.2,21875,-75,17342
520,Sprouts Farmers Market,6099.9,-57000.00%,244.2,-151000.00%,2923.1,3546.8,-83,31000
521,Huntington Bancshares,6080,161000.00%,1295,585000.00%,174064,21123.4,-11,18442
522,CACI International,6044.1,57000.00%,457.4,423000.00%,6172.4,7051.2,-49,22000
523,JetBlue Airways,6037,1042000.00%,-182,-,13642,4786.9,229,17459
524,SVB Financial Group,6027,477000.00%,1833,517000.00%,211478,32901,89,6567
525,Fastenal,6010.9,64000.00%,925,77000.00%,4299,34187.9,-46,18370
526,GameStop,6010.7,181000.00%,-381.3,-,3499.3,12716.6,-5,22500
527,Knight-Swift Transportation Holdings,5998,283000.00%,743.4,813000.00%,10655.5,8386,24,27650
528,Airbnb,5991.8,774000.00%,-352,-,13708.5,110419.9,160,6132
529,Patterson,5912.1,77000.00%,156,-,2751.5,3160,-38,7800
530,Penn National Gaming,5905,650000%,420.8,-,16872.1,7140.2,129,21973
531,ServiceNow,5896,305000.00%,230,941000.00%,10798,111378,39,16881
532,Nasdaq,5886,46000.00%,1187,272000.00%,20115,29298.2,-52,5814
533,Brunswick,5846.2,345000.00%,593.3,592000.00%,5425,6197.3,59,18582
534,Resideo Technologies,5846,153000.00%,242,5541000.00%,5853,3455.8,-11,13300
535,Chesapeake Energy,5809,115000.00%,-,-,11009,11135.9,-22,1300
536,Petco Health and Wellness,5807.1,180000%,164.4,-,6497.9,5930.2,-5,28495
537,Kemper,5793,113000.00%,-120.5,-1294000.00%,14916.5,3606,-23,10300
538,Hilton Worldwide Holdings,5788,344000.00%,410,-,15441,42356.6,58,142000
539,Cerner,5764.8,47000.00%,555.6,-288000.00%,7434.2,27492.2,-49,25150
540,Levi Strauss,5763.9,295000.00%,553.5,-,5900.1,7874.7,40,16600
541,Tapestry,5746.3,158000.00%,834.2,-,8382.4,9807.2,-13,14250
542,NetApp,5744,61000.00%,730,-109000.00%,9360,18470.5,-45,11000
543,KB Home,5724.9,369000.00%,564.7,906000.00%,5835.9,2858.1,60,2244
544,Continental Resources,5719.3,1211000.00%,1661,-,18591.1,22342.4,274,1254
545,Intuitive Surgical,5710.1,310000%,1704.6,607000.00%,13555,108361.9,46,9793
546,Under Armour,5683.5,270000%,360.1,-,4991.4,7712.4,32,12300
547,MDU Resources Group,5680.7,27000.00%,378.1,-31000.00%,8910.4,5419.3,-61,12826
548,Silgan Holdings,5677.1,153000.00%,359.1,163000.00%,7770.8,5104.3,-18,15720
549,Ryerson Holding,5675.3,637000.00%,294.3,-,2365.6,1344.6,127,4000
550,Ingersoll Rand,5655.2,152000.00%,562.5,-,15154.5,20541.2,-17,16000
551,Hologic,5632.3,491000.00%,1871.5,678000.00%,8919.9,19305.1,90,6705
552,Electronic Arts,5629,17000.00%,837,-725000.00%,13288,35577.4,-67,11000
553,Zebra Technologies,5627,265000.00%,837,661000.00%,6215,21959.1,28,9800
554,Coty,5616.2,-166000.00%,-201.3,-,13691.4,7540.6,-128,11430
555,Schneider National,5608.7,232000.00%,405.4,915000.00%,3937.3,4551.6,10,17050
556,Sonoco Products,5590.4,67000.00%,-85.5,-1412000.00%,5073.2,6099.1,-45,20500
557,Concentrix,5587,-,405.6,-,5046.4,8605.2,-,290000
558,Evergy,5586.7,137000.00%,879.7,423000.00%,28520.5,15512.7,-26,4930
559,Cornerstone Building Brands,5583.1,209000.00%,665.9,-,5827.5,3088.7,-2,21700
560,Coca-Cola Consolidated,5562.7,111000.00%,189.6,99000.00%,3445.6,4657.3,-34,15050
561,Greif,5556.1,231000.00%,390.7,2591000.00%,5815.8,3134,11,16000
562,Vulcan Materials,5552.2,143000.00%,670.8,148000.00%,13682.6,24412.7,-23,11912
563,Ametek,5546.5,222000.00%,990.1,135000.00%,11898.2,30787.3,3,18500
564,Monster Beverage,5541.4,205000.00%,1377.5,-23000.00%,7804.8,42295.8,-2,3775
565,Sealed Air,5533.8,129000.00%,506.8,8000.00%,6229.3,9920.7,-31,16500
566,NOV,5524,-93000.00%,-250,-,9550,7700.2,-109,27043
567,Las Vegas Sands,5505,524000.00%,-961,-,20059,29696.4,87,44600
568,Martin Marietta Materials,5493.2,161000.00%,702.5,-26000.00%,14393,24015.1,-22,10000
569,Marathon Oil,5467,772000.00%,946,-,16994,18349.5,164,1531
570,Mattel,5457.7,191000.00%,903,6131000.00%,6393.9,7823.3,-7,36300
571,Microchip Technology,5438.4,31000.00%,349.4,-388000.00%,16478.8,41777.1,-66,19500
572,Harley-Davidson,5336.3,316000.00%,650,499789000.00%,11051.1,6062.9,42,5800
573,Telephone & Data Systems,5329,20000%,156,-310000%,13493,2163.4,-61,8800
574,ADT,5307.1,-1000.00%,-340.8,-,16894.4,6843,-70,25000
575,First Republic Bank,5305,177000.00%,1478,389000.00%,181087,29113.6,-1,6295
576,Warner Music Group,5301,188000.00%,304,-,7211,19485.7,3,5900
577,Pool,5295.6,345000.00%,650.6,774000.00%,3230.1,16967.1,47,5650
578,Old Dominion Freight Line,5256.3,309000.00%,1034.4,538000.00%,4821.5,34307.5,41,23663
579,Fortive,5254.7,134000.00%,608.4,-623000.00%,16465.5,21877.9,-23,18000
580,MDC Holdings,5254.7,347000.00%,573.7,561000.00%,4963.5,2692.7,49,2080
581,NGL Energy Partners,5243.2,-735000.00%,-639.8,-,5947.3,288.6,-430,997
582,Edwards Lifesciences,5232.5,193000.00%,1503.1,825000.00%,8502.6,73141.4,7,15700
583,Hanover Insurance Group,5227.8,83000.00%,418.7,167000.00%,14254.3,5317.9,-41,4400
584,Syneos Health,5213,181000.00%,234.8,218000.00%,8237.1,8436.7,2,27443
585,Xylem,5195,65000.00%,427,681000.00%,8276,15354.7,-47,16700
586,Church & Dwight,5190.1,60000%,827.5,53000.00%,7996.5,24119.1,-51,5100
587,American Axle & Manufacturing,5156.6,95000.00%,5.9,-,5635.7,888.3,-40,18000
588,Meritage Homes,5141.3,142000.00%,737.4,741000.00%,4807.5,2907.3,-11,1773
589,Workday,5138.8,190000%,29.4,-,10498.5,60583.4,5,15200
590,Rush Enterprises,5126.1,82000.00%,241.4,1101000.00%,3120,2788.5,-45,7141
591,Yellow,5121.8,135000.00%,-109.1,-,2425.6,360.3,-18,32000
592,Encompass Health,5121.6,103000.00%,412.2,450000%,6864.9,7071.1,-38,35681
593,Simon Property Group,5116.8,111000.00%,2249.6,1022000.00%,33777.4,43197.8,-33,2850
594,Globe Life,5112.9,79000.00%,745,18000.00%,29768,9977.3,-50,3222
595,Skyworks Solutions,5109.1,523000.00%,1498.3,839000.00%,8590.7,21547.5,95,10945
596,Endeavor Group Holdings,5077.7,460000%,-296.6,-,11434.5,20363.1,78,7700
597,Twitter,5077.5,366000.00%,-221.4,-,14059.5,30976.8,50,7500
598,Leggett & Platt,5072.6,185000.00%,402.4,625000.00%,5307.3,4659,-,20300
599,Western Union,5070.8,49000.00%,805.8,83000.00%,8823.5,7374.7,-58,10500
600,PerkinElmer,5067.2,340000%,943.2,296000.00%,15000.6,22009.4,39,16700
601,SS&C Technologies Holdings,5051,82000.00%,800,280000%,17333,19235.1,-49,24900
602,CUNA Mutual Group,5049.5,247000.00%,622.3,3277000.00%,44345,-,13,4100
603,FMC,5045.2,87000.00%,736.5,335000.00%,10581.3,16563.8,-48,6400
604,Carlisle,5030,185000.00%,421.7,317000.00%,7246.8,12804.5,-5,11250
605,American Eagle Outfitters,5010.8,333000.00%,419.6,-,3786.6,2836.6,37,24000
606,Core & Main,5004,374000.00%,166,3486000.00%,4434,5948.8,-,4100
607,Vertiv Holdings,4998.1,144000.00%,119.6,-,6939.6,5263.9,-17,24000
608,Broadridge Financial Solutions,4993.7,103000.00%,547.5,184000.00%,8119.8,18182.7,-40,13704
609,Ingles Markets,4987.9,82000.00%,249.7,398000.00%,2018.3,1691.4,-50,18460
610,TPG,4976.4,1353000.00%,2180.9,1981000.00%,8962,9304.9,-,1013
611,Insperity,4973.1,160000%,124.1,-102000.00%,1753.1,3849.8,-14,3600
612,Howmet Aerospace,4972,-55000.00%,258,-11000.00%,10219,15055.4,-105,19900
613,R.R. Donnelley & Sons,4963.7,-81000.00%,3.7,-962000.00%,3131.4,-,-114,32000
614,Keysight Technologies,4941,171000.00%,894,426000.00%,7781,28746.6,-13,14300
615,Tempur Sealy International,4930.8,341000.00%,624.5,790000%,4323.4,4997.7,37,12000
616,Scotts Miracle-Gro,4925,192000.00%,512.5,323000.00%,4800,6834.6,-9,8050
617,Equifax,4923.9,193000.00%,744.2,431000.00%,11040.9,29141.8,-9,12700
618,Kelly Services,4909.7,87000.00%,156.1,-,2894.2,856,-47,7400
619,NiSource,4899.6,47000.00%,584.9,-,24156.9,12891.2,-70,7307
620,OneMain Holdings,4895,-,1314,800000%,22079,6042.8,-84,8800
621,DoorDash,4888,694000.00%,-468,-,6809,40830.3,148,8600
622,Avient,4818.8,486000.00%,230.8,754000.00%,4997.2,4388.4,80,8700
623,Sanderson Farms,4799.7,347000.00%,455.1,15096000.00%,2345,4185.4,39,17662
624,TransDigm Group,4798,-74000.00%,680,-27000.00%,19315,36135.8,-108,13300
625,Stifel Financial,4783.1,253000.00%,824.9,638000.00%,34049.7,7226,8,8600
626,JELD-WEN Holding,4771.7,127000.00%,168.8,843000.00%,3738.7,1826,-26,24700
627,Ares Management,4770.6,1228000.00%,408.8,1687000.00%,21605.2,23821.1,-,2100
628,Elanco Animal Health,4765,456000.00%,-472,-,16483,12345.4,71,9800
629,Prologis,4759.4,72000.00%,2939.7,984000.00%,58486.2,119524.5,-45,2053
630,Welltower,4742.1,30000%,336.1,-657000.00%,34910.3,43001.5,-69,464
631,Darling Ingredients,4741.4,327000.00%,650.9,1193000.00%,6133.7,12987.4,29,9900
632,Juniper Networks,4735.4,65000.00%,252.7,-20000%,8887,11986.6,-50,10191
633,Gartner,4734,155000.00%,793.6,1975000.00%,7416.3,24477.2,-21,16600
634,Par Pacific Holdings,4710.1,507000.00%,-81.3,-,2570.3,783.3,91,1336
635,Hubbell,4703.5,124000.00%,399.5,138000.00%,5281.5,9959.6,-33,18300
636,CME Group,4689.7,-40000%,2636.4,252000.00%,196780.3,85492.3,-99,3480
637,Nexstar Media Group,4648.4,33000.00%,834.6,29000.00%,13264.5,7728.3,-61,11817
638,Tutor Perini,4641.8,-127000.00%,91.9,-152000.00%,4724.9,551.8,-135,7800
639,Antero Resources,4619.4,323000.00%,-186.9,-,13896.5,9608,33,519
640,Teledyne Technologies,4614.3,495000.00%,445.3,108000.00%,14430.3,22102.9,92,14500
641,Snap-on,4601.7,167000.00%,820.5,309000.00%,6759.7,10976.1,-18,12800
642,Rent-A-Center,4583.5,629000.00%,134.9,-352000.00%,2993.3,1486.9,138,14290
643,Covetrus,4575,54000.00%,-54,-,3410,2319.3,-50,4873
644,Crestwood Equity Partners,4569,1027000.00%,-78.5,-,4445.7,2931.5,260,645
645,Louisiana-Pacific,4553,633000.00%,1377,1760000%,2194,5344.1,142,4800
646,Urban Outfitters,4548.8,319000.00%,310.6,250307000.00%,3791.3,2421.4,32,16330
647,Penn Mutual Life Insurance,4545.6,228000.00%,522.9,822000.00%,44190.9,-,2,3194
648,Amerco,4542,142000.00%,610.9,382000.00%,14651.6,11704.7,-28,22052
649,TriNet Group,4540,125000.00%,338,243000.00%,3309,6482.5,-31,2800
650,Sentry Insurance Group,4526.2,262000.00%,739.9,2667000.00%,23880.5,-,8,4064
